0.039998 254.747429 143.033143 0.299808 121.224729 0.099950
0.439756 374.378667 162.624000 0.099944 108.405883 0.119931
0.659631 267.127273 146.845091 0.999440 115.345715 0.079963
1.739034 381.608296 160.942222 2.978309 143.915512 0.119932
4.837275 242.425600 124.338240 1.139382 20.215188 0.019984
5.996641 249.088000 143.424000 0.019981 73.825414 0.079963
6.096585 282.609778 209.200000 0.179886 115.752652 0.099944
6.376415 167.786667 223.840000 0.059983 19.587497 0.019981
6.456379 152.960000 236.640000 0.019987 144.118036 0.099943
6.576309 261.331692 141.636923 0.259846 0.000000 0.000000
